good,id
1,999547
0,1061580
1,1074785
0,1076316
1,1098366
0,1099469
1,1102636
1,1110001
0,1112033
1,1114693
0,1130305
1,1138771
0,1140849
0,1141464
0,1143076
1,1145235
1,1153863
1,1156752
1,1159899
1,1162420
1,1166679
1,1170425
1,1173918
1,1187283
1,1191951
1,1192787
1,1196393
1,1199275
1,1215978
0,1224624
1,1238860
1,1241624
1,1242216
1,1248735
1,1251816
1,1252575
1,1255139
1,1255925
0,1267319
1,1280467
1,1281513
1,1282099
1,1284927
1,1307018
1,1310390
1,1324189
1,1327700
1,1331033
1,1338029
1,1340757
1,1342347
0,1344834
1,1350197
1,1352331
0,1357234
0,1357660
1,1368587
0,1375044
0,1375445
0,1378620
0,1389699
1,1393592
0,1394620
1,1410563
0,1411006
1,1411796
1,1412457
1,1422072
0,1427809
1,1431019
0,1433303
0,1438944
1,1444243
0,1450319
0,1456675
1,1457611
1,1466502
1,1467693
1,1473282
0,1476846
1,1485171
1,1487501
0,1488646
0,1489496
1,1496712
1,1502384
1,1502741
0,1503942
1,1504852
0,1512222
1,1514364
0,1515836
1,1517434
0,1523385
1,1530167
0,1530718
0,1544685
1,1546367
1,1550241
1,1552678
0,1560704
1,1562324
1,1571055
1,1578875
1,1587104
1,1596779
1,1600887
0,1602901
0,1606719
0,1609624
0,1616403
0,1617454
0,1677660
1,1684701
0,1689298
1,1691702
1,1692216
1,1694489
0,1704669
1,1854813
1,1914718
0,1955329
0,2079768
1,2082459
1,2085677
0,2087490
1,2225974
0,2297585
0,2369962
1,2373345
1,2376463
0,2377795
0,2445684
0,2476189
0,2477662
0,2485618
1,2574567
1,2935172
0,2944582
0,3057752
1,3066975
1,3098659
0,3144946
1,3145353
1,3151333
0,3157479
1,3161123
0,3164284
1,3195341
1,3197984
1,3241409
1,784712
0,1063649
1,1076701
1,1078753
0,1081415
1,1083892
1,1085272
1,3297964
0,3298622
1,1090787
1,1098911
1,1099657
1,1106874
1,1108424
0,3357652
1,1109782
0,1111836
1,1120853
0,3360220
1,1132995
1,1141122
0,1147615
1,1149277
0,3381258
1,3383090
0,1149852
0,1150404
1,1154764
0,1165617
0,1169590
1,3495442
1,1175170
1,1179151
1,1181046
1,1183008
1,3536577
0,3538665
1,1194750
1,1201556
0,3635531
1,1221154
0,1225586
1,1239924
1,1246576
1,1252030
0,3702052
1,3729184
1,3729614
1,1259996
0,1266396
1,1283099
1,1291972
0,1296555
1,3894630
0,3925460
1,1306207
1,1318335
1,3931565
1,4034687
0,1332069
1,1335345
1,1337146
1,1337469
1,1340934
1,1344527
0,4244772
1,1367216
1,1372529
0,5967209
0,6264816
0,6287749
0,6296396
0,6296846
0,6307393
0,6320472
0,6329754
0,6330968
0,6404617
0,6530526
0,6535563
0,6541442
0,6549962
0,6568612
0,6570568
0,6572361
0,6578127
0,6580420
0,6596246
0,6605356
0,6627003
0,6637504
0,6645430
0,6684637
0,6699658
0,6705869
0,6706740
0,6709081
0,6709549
0,6737013
0,6737876
0,6739588
0,6826739
0,6828521
0,6837398
0,6837966
0,6838367
0,6897288
0,6899046
0,6914675
0,6939398
0,6964795
0,6995330
0,7053449
0,7056597
0,7081610
0,7103394
0,7164571
0,7224792
0,7256276
0,7286847
0,7306744
0,7338257
0,7340605
0,7341962
0,7342668
0,7346004
0,7365633
0,7366064
0,7368239
0,7375422
0,7376759
0,7380082
0,7386063
0,7414817
0,7424792
0,7439126
0,7445689
0,7450283
0,7451128
0,7484969
0,7506015
0,7525285
0,7585119
0,7615439
0,7626035
0,7634738
0,7636302
0,7637837
0,7645336
0,7647993
0,7656551
0,7657363
0,7665144
0,7675725
0,7690472
0,7696606
0,7708248
0,7711140
0,7711498
0,7715188
0,7715554
0,7719960
0,7725880
0,7726728
0,7729377
0,7844705
0,7904584
0,7904949
0,7915016
0,7926249
0,7927095
0,8015201
0,8034709
0,8035129
0,8096391
0,8125812
0,8136409
0,8137767
0,8145283
0,8157729
0,8184870
0,8195390
0,8266491
0,8275665
0,8284589
0,8295348
0,8296096
0,8315993
0,8354563
0,8354967
0,8355409
0,8356432
0,8364695
0,8365119
0,8384650
0,8385850
0,8514664
0,8556123
0,8566216
0,8568951
0,8570453
0,8576350
0,8579047
0,8585122
0,8586556
0,8586934
0,8596763
0,8598250
0,8599870
0,8608022
0,8608402
0,8625779
0,8627837
0,8628387
0,8645258
0,8647291
0,8664595
0,8754830
0,8784923
0,8904689
0,8935777
0,8945668
0,8957111
0,8959203
0,8960403
0,8960811
0,8961660
0,8965670
0,8968510
0,8969985
0,8986690
0,8988201
0,8992320
0,8995822
0,9005533
0,9005877
0,9006524
0,9007367
0,9007789
0,9008664
0,9010140
0,9010535
0,9025005
0,9035383
0,9046226
0,9047994
0,9054806
0,9075955
0,9094571
0,9114882
0,9145232
0,9175292
0,9186717
0,9189744
0,9205821
0,9209108
0,9215412
0,9218848
0,9225702
0,9228698
0,9234789
0,9236972
0,9394781
0,9444774
0,9564841
0,9604813
0,9674826
0,9676180
0,9716567
0,9725233
0,9726559
0,9755996
0,9767703
0,9845564
0,9857872
0,9858335
0,9866686
0,9874864
0,9876679
0,9894776
0,10004656
0,10065469
0,10070150
0,10070865
0,10074831
0,10077398
0,10085790
0,10091115
0,10093518
0,10098551
0,10107419
0,10110089
0,10116439
0,10116964
0,6935719
0,7048231
0,7297087
0,7345767
1,7346213
0,7534956
0,7685287
0,7955388
0,8669090
0,9026158
0,9354586
0,5783744
0,6135579
0,6285780
0,6296143
0,6297026
0,6298034
0,6299968
0,6300898
0,6309856
0,6315376
0,6318419
0,6318840
0,6319907
0,6328147
0,6464647
0,6475297
0,6504686
0,6515062
0,6518510
0,6525208
0,6530817
0,6532043
1,5773634
1,5774159
1,5774536
1,5774938
1,5775299
1,5775623
1,5776050
1,5776356
1,5776644
1,5777086
1,5777435
1,5778140
1,5778537
1,5778872
1,5779235
1,5779584
1,5780027
1,5780558
1,5780946
1,5781392
1,5781857
1,5782385
1,5782782
1,5783243
1,5784224
1,5784598
1,5784917
1,5785295
0,5785735
1,5786124
1,5786371
1,5786769
1,5787044
1,5787492
1,5787824
1,5788124
1,5788452
1,5788828
1,5789314
1,5789797
1,5790277
1,5790732
1,5791639
1,5792177
1,5792562
1,5792953
1,5793482
1,5793799
1,5794203
1,5794630
1,5794941
1,5795265
1,5795741
1,5796086
1,5796453
1,5796829
1,5797289
1,5797818
1,5798412
1,5798956
1,5799404
1,5799896
0,5800240
1,5800673
1,5801067
1,5801659
1,5802024
1,5802511
1,5803123
1,5805023
1,5814968
1,5815362
1,5815725
1,5824927
1,5825234
1,5825644
1,5834839
1,5835131
1,5835587
1,5844822
1,5845221
1,5854799
1,5855150
1,5855659
1,5856111
1,5864837
1,5865472
1,5865844
1,5874792
1,5875153
1,5875571
1,5884943
1,5885268
1,5885663
1,5894642
1,5895039
1,5895385
1,5895805
1,5904884
1,5934819
1,5935213
1,5935581
1,5936082
1,5936503
1,5936930
1,5937212
1,5937714
0,5938114
1,5938375
1,5938671
1,5939015
1,5939542
1,5939927
1,5940322
1,5944790
